,STRUCTURE_NUMBER_008,Rating_2011,Rating_2012,Rating_2013,Rating_2014,Rating_2015,Rating_2016,Rating_2017,Rating_2018,Rating_2019,Rating_2020
0,10001,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0
1,10003,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0
3,10006,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
4,10007,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
5,10008,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
6,10009,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0
10,10013,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
11,10014,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
12,10015,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
13,10016,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
14,10017,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
15,10018,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0
16,10020,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
18,10026,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
19,10028,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
20,10029,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
21,10031,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
22,10032,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
23,10033,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0
24,10035,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0
25,10042,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
26,10043,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0
27,10044,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
28,10045,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0
29,10050,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0
30,10052,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0
31,10053,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0
32,10055,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0
33,10056,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
34,10059,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
35,10060,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
36,10061,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
37,10062,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
38,10063,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
39,10064,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
40,10065,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
41,10066,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
42,10067,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0
43,10068,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0
44,10069,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0
45,10070,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
46,10071,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
47,10072,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
48,10073,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
49,10074,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
50,10075,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
51,10076,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
52,10077,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
53,10078,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
54,10079,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
55,10080,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
56,10081,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
57,10082,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
58,10083,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
59,10084,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0
60,10085,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0
61,10086,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0
62,10087,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
63,10088,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0
64,10089,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
65,10090,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0
66,10091,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0
67,10092,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
68,10093,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
69,10094,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
70,10095,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0
71,10096,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0
