,7_2,7_3,7_4,7_5,7_6,7_7,7_8,6_1,6_2,7_1,7_9,7_10,6_3,6_4,6_5,6_6,6_7,6_8,6_9,6_10,5_1,5_2,5_3,5_4,5_5,5_6,5_7,5_8,5_9,5_10,8_1,8_2,8_3,8_4,8_5,8_6,8_7,8_8,8_9,8_10,4_1,4_2,4_3,9_1,9_2,9_3,9_4,4_4,4_5,4_6,4_7,4_8,4_9,3_1,3_2,3_3,3_4,4_10,3_5,3_6,3_7,3_8,3_9,1_1,1_2,9_5,2_1,2_2,2_3,2_4,2_5,2_6,2_7,3_10,9_6,9_7,9_8,1_3,2_8,2_9,2_10
7_1,0.9817073170731707,,,,,,,0.01710291493158834,,0.0,,,,,,,,,,,0.001189767995240928,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_2,,0.9767761650114591,,,,,,0.02154316271963331,,0.0,,,,,,,,,,,0.0015278838808250573,,,,,,,,,,0.0,,,,,,,,,,0.00015278838808250572,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_3,,,0.974156949259376,,,,,0.024267254963756698,,0.0,,,,,,,,,,,0.001575795776867318,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_4,,,,0.9688468439080085,,,,0.02854346762355244,,0.0,,,,,,,,,,,0.0021203718806067527,,,,,,,,,,0.0,,,,,,,,,,0.00032621105855488503,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.00016310552927744252,,,,,,,,,,,,,,
7_5,,,,,0.9642614023144996,,,0.030973451327433628,,0.0,,,,,,,,,,,0.004424778761061947,,,,,,,,,,0.0,,,,,,,,,,0.0003403675970047651,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_6,,,,,,0.9676149579531222,,0.02880658436213992,,0.0,,,,,,,,,,,0.003041689032027196,,,,,,,,,,0.0,,,,,,,,,,0.0005367686527106817,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_7,,,,,,,0.9647874133732909,0.02921895486046076,,0.0,,,,,,,,,,,0.004682524817381532,,,,,,,,,,0.0,,,,,,,,,,0.001311106948866829,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_8,,,,,,,,0.028582692686773114,,0.0,0.9570273999605756,,,,,,,,,,0.011630199093238714,,,,,,,,,,0.0,,,,,,,,,,0.0027597082594125765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_1,,,,,,,,0.0,0.9847978108847674,0.0,,,,,,,,,,,0.015202189115232594,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_2,,,,,,,,0.0,,0.0,,,0.9639727361246349,,,,,,,,0.03148328464784161,,,,,,,,,,0.0,,,,,,,,,,0.004219409282700422,,,0.0,,,,,,,,,,0.0003245699448231094,,,,,,,,,,,,,,,,,,,,,,,,,,,
