,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,6_1,6_2
1,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,6_1
2,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
3,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
4,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
5,6_1,6_2,6_3,6_4,6_5,6_6,6_7,6_8,6_9,6_10
6,5_1,5_2,5_3,5_4,5_5,5_6,5_7,5_8,5_9,5_10
7,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
8,6_1,6_2,6_3,6_4,6_5,6_6,6_7,6_8,6_9,6_10
9,7_1,6_1,6_2,6_3,6_4,6_5,6_6,6_7,6_8,6_9
10,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,5_1,5_2
11,6_1,6_2,6_3,6_4,6_5,6_6,6_7,6_8,6_9,6_10
12,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
13,6_1,6_2,6_3,6_4,6_5,6_6,6_7,6_8,6_9,6_10
14,5_1,5_2,5_3,5_4,5_5,5_6,5_7,5_8,5_9,5_10
15,6_1,6_2,6_3,6_4,6_5,6_6,6_7,6_8,6_9,6_10
16,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
17,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
18,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
19,7_1,7_2,7_3,7_4,7_5,6_1,6_2,6_3,6_4,6_5
20,6_1,6_2,6_3,6_4,5_1,5_2,5_3,5_4,5_5,5_6
21,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
22,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
23,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
24,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
25,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
26,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
27,6_1,6_2,6_3,6_4,6_5,6_6,6_7,6_8,6_9,6_10
28,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
29,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
30,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
31,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
32,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
33,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
34,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
35,6_1,6_2,6_3,6_4,6_5,6_6,6_7,6_8,6_9,6_10
36,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
37,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
38,6_1,6_2,6_3,6_4,6_5,6_6,6_7,6_8,6_9,6_10
39,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
40,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
41,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
42,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
43,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,6_1
44,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,6_1
45,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
46,6_1,6_2,6_3,6_4,6_5,6_6,6_7,6_8,6_9,6_10
47,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
48,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
49,7_1,7_2,7_3,7_4,6_1,6_2,6_3,6_4,6_5,6_6
50,7_1,7_2,7_3,7_4,7_5,7_6,6_1,6_2,6_3,6_4
51,6_1,6_2,6_3,6_4,6_5,6_6,6_7,6_8,6_9,6_10
52,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
53,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
54,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
55,8_1,8_2,8_3,8_4,8_5,8_6,8_7,8_8,8_9,8_10
56,8_1,8_2,8_3,8_4,8_5,8_6,8_7,8_8,8_9,8_10
57,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
58,7_1,7_2,7_3,7_4,7_5,7_6,6_1,6_2,6_3,6_4
59,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
60,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
61,6_1,6_2,6_3,6_4,6_5,6_6,6_7,6_8,6_9,6_10
62,6_1,6_2,6_3,6_4,6_5,6_6,6_7,6_8,6_9,6_10
63,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
64,6_1,6_2,6_3,6_4,6_5,6_6,6_7,6_8,6_9,6_10
65,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
66,6_1,6_2,6_3,6_4,6_5,6_6,6_7,6_8,6_9,6_10
67,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
68,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
69,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
70,6_1,6_2,6_3,6_4,6_5,6_6,6_7,6_8,6_9,6_10
71,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
72,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
73,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
74,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
75,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
76,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
77,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10
78,6_1,6_2,6_3,6_4,6_5,6_6,6_7,6_8,6_9,6_10
